Station,Longitude,Latitude
Aderklaaer strasse  ,63,1103
Alaudagasse  ,843,793
Alser strasse  ,280,451
Alte Donau  ,163,1003
Alterlaa  ,743,451
Altes Landgut  ,812,763
Am Schoepfwerk  ,708,450
Aspern Nord  ,231,1362
Aspernstrasse  ,273,1285
Bahnhof Meidling  ,633,451
Braunschweiggasse  ,548,179
Burggasse-Stadthalle  ,385,451
Donauinsel  ,223,943
Donaumarina  ,375,1097
Donaustadtbruecke  ,340,1121
Donauspital  ,274,1230
Dresdner strasse  ,118,694
Enkplatz  ,637,1163
Erdberg  ,547,1034
Erlaaer strasse  ,779,451
Floridsdorf  ,15,855
Friedensbruecke  ,202,677
Gasometer  ,576,1076
Grossfeldsiedlung  ,39,1127
Gumpendorfer strasse  ,486,451
Handelskai  ,118,754
Hardeggasse  ,274,1165
Hausfeldstrasse  ,231,1313
Herrengasse  ,429,712
Heiligenstradt  ,15,594
Hietzing  ,548,241
Huetteldorfer strasse  ,344,281
Huetteldorf  ,548,12
Jaegerstrasse  ,118,648
Johnstrasse  ,363,322
Josefstaedter strasse  ,317,451
Kagran  ,137,1029
Kagraner Platz  ,110,1056
Kaisermuehlen/VIC  ,192,975
Karlsplatz  ,539,736
Kardinal-Nagl-Platz  ,489,951
Keplerplatz  ,681,763
Kettenbrueckengasse  ,548,666
Kendlerstrasse  ,322,238
Krieau  ,321,998
Landstrasse  ,428,865
Laengenfeldgasse  ,548,451
Leopoldau  ,11,1155
Margaretenguertel  ,548,526
Meidling Haupstrasse  ,548,361
Messe-Prater  ,282,955
Michelbeuern - AKH  ,236,451
Museumsquartier  ,488,667
Neubaugasse  ,427,594
Neue Donau  ,65,804
Neulaa  ,874,823
Nestroyplatz  ,317,848
Niederhofstrasse  ,595,451
Nussdorfer strasse  ,118,516
Ober St. Veit  ,548,72
Oberlaa  ,873,869
Ottakring  ,300,192
Perfektastrasse  ,816,451
Pilgramgasse  ,548,591
Praterstern  ,285,880
Rathaus  ,376,669
Rennbahnweg  ,86,1080
Reumannplatz  ,726,762
Rochusgasse  ,460,911
Rossauer Laende  ,245,721
Schlachthausgasse  ,515,989
Schoenbrunn  ,547,302
Schottentor  ,326,708
Schottenring  ,286,762
Schwedenplatz  ,345,821
Schweglerstrasse  ,389,372
Seestadt  ,261,1385
Siebenhirten  ,855,451
Simmering  ,667,1206
Spittelau  ,118,594
Stadion  ,353,1034
Stadlau  ,306,1143
Stadtpark,507,847
Stephansplatz  ,428,763
Stubentor  ,429,808
Suedtiroler Platz - Hauptbahnhof  ,636,763
Taborstrasse  ,283,821
Taubstummengasse  ,593,763
Thaliastrasse  ,351,451
Troststrasse  ,768,763
Tschwerttegasse  ,668,451
Unter St. Veit  ,547,123
Vorgartenstrasse  ,252,913
Volkstheater  ,428,669
Waehringer strasse - Volksoper  ,184,451
Westbahnhof  ,428,451
Zieglergasse  ,428,529
Zippererstrasse  ,608,1121
